question,sql
how many persons got the third position whan sanyo electric tokushima got the fourth position?,SELECT COUNT Third place FROM table WHERE Fourth place = Sanyo Electric Tokushima
how many persons got the fourth position when the regional was shikoku?,SELECT COUNT Fourth place FROM table WHERE Regional = Shikoku
who got the first place when the Japanese Regional Leagues was in hokushinetsu?,SELECT Champions FROM table WHERE Regional = Hokushinetsu
who got the first position when fujieda city government got the fourth position?,SELECT Champions FROM table WHERE Fourth place = Fujieda City Government
What are the civilian total when the security force total is 36?,SELECT Civilians FROM table WHERE Security forces = 36
What are the security forces when the civilians are 202?,SELECT Security forces FROM table WHERE Civilians = 202
How many figures are named for security forces in 1998?,SELECT COUNT Security forces FROM table WHERE Period = 1998
How many insurgents are there when the total per period is 156?,SELECT Insurgents FROM table WHERE Total per period = 156
How many U.S. viewers watched the episode directed by Frank Waldeck?,SELECT U.S. viewers (millions) FROM table WHERE Directed by = Frank Waldeck
How many tournaments were at sime darby lpga malaysia?,SELECT COUNT No. FROM table WHERE Tournament = Sime Darby LPGA Malaysia
Margin of victory on no. 4 was?,SELECT Margin of victory FROM table WHERE No. = 4
Who was the runner up when the won by 4 strokes?,SELECT Runner(s)-up FROM table WHERE Margin of victory = 4 strokes
Which film title used in nomination has the year (ceremony) 1990 (63rd)?,SELECT Film title used in nomination FROM table WHERE Year (Ceremony) = 1990 (63rd)
Who is the director of kon-tiki original title?,SELECT Director FROM table WHERE Original title = Kon-Tiki
Which film title used in nomination has vinterkyss as the original title?,SELECT Film title used in nomination FROM table WHERE Original title = Vinterkyss
What is the date for the tournament McDonald's wpga championship?,SELECT Date FROM table WHERE Tournament = McDonald's WPGA Championship
What is the winning score when 5 strokes is the margin of victory?,SELECT Winning score FROM table WHERE Margin of victory = 5 strokes
What is the to par with the winning score of 74-67-71-73=285?,SELECT To par FROM table WHERE Winning score = 74-67-71-73=285
What is the date of the winning score 74-67-71-73=285?,SELECT Date FROM table WHERE Winning score = 74-67-71-73=285
"What number in series is ""Diamonds""?","SELECT No. in series FROM table WHERE Title = ""Diamonds"""
"Who directed ""A Tale of Two Hitmen""?","SELECT Directed by FROM table WHERE Title = ""A Tale of Two Hitmen"""
How many number in series's are written by Greg Haddrick?,SELECT COUNT No. in series FROM table WHERE Written by = Greg Haddrick
"What number in series is ""Judas Kiss""?","SELECT No. in series FROM table WHERE Title = ""Judas Kiss"""
"What was the original airdate of ""A Nice Little Earner""?","SELECT Original air date FROM table WHERE Title = ""A Nice Little Earner"""
whatis the year the first establishment had research grants in the amount of 4.027?,"SELECT MAX First establishment FROM table WHERE Research grants (2009, in billion SEK ) = 4.027"
what is the total number of established univeristy receiving research grants in the amount of 2.203?,"SELECT COUNT Established as a university FROM table WHERE Research grants (2009, in billion SEK ) = 2.203"
what are the student population where research grants is 1.812?,"SELECT Student population ( FTE , 2009) FROM table WHERE Research grants (2009, in billion SEK ) = 1.812"
what is the first establishement where research grants is 2.033?,"SELECT First establishment FROM table WHERE Research grants (2009, in billion SEK ) = 2.033"
what is the minimum student population where the research grants is 2.203?,"SELECT MIN Student population ( FTE , 2009) FROM table WHERE Research grants (2009, in billion SEK ) = 2.203"
When were the odds of winner 16.66?,SELECT Year FROM table WHERE Odds of winner = 16.66
What was the winning time in the year when the odds of the winner were 2.94?,SELECT Winning time (km rate) FROM table WHERE Odds of winner = 2.94
What were Gentleman's odds of winner?,SELECT Odds of winner FROM table WHERE Horse = Gentleman
How many countries did Utah Bulwark's owner come from?,SELECT COUNT Country of owner FROM table WHERE Horse = Utah Bulwark
How many horses are mentioned competing in 1985?,SELECT COUNT Horse FROM table WHERE Year = 1985
"If the headquarters is Bharatpur, what is the maximum area?",SELECT MAX Area (km²) FROM table WHERE Headquarters = Bharatpur
"If the district is Chittorgarh, what is the area?",SELECT Area (km²) FROM table WHERE District = Chittorgarh
"If the 2011 population is 3685681, what is the name of the headquarters?",SELECT Headquarters FROM table WHERE Population (2011) = 3685681
What is the minimum area id the 2011 population is 3067549?,SELECT MIN Area (km²) FROM table WHERE Population (2011) = 3067549
What is the 2011 population if the headquarters is Chittorgarh?,SELECT Population (2011) FROM table WHERE Headquarters = Chittorgarh
How many different municipal mayors were there in the municipality with an area of 42.66 km2?,SELECT COUNT Municipal Mayor FROM table WHERE Area (km²) = 42.66
What municipality had 26839 people living in it in 2010?,SELECT Municipality FROM table WHERE Population (2010) = 26839
In what municipality were there 757.5 people per km2?,SELECT Municipality FROM table WHERE Pop. Density (per km²) = 757.5
How many different counts of the population in Cavinti in 2010 are there?,SELECT COUNT Population (2010) FROM table WHERE Municipality = Cavinti
How many people per km2 are there in the municipality whose mayor is Boy Quiat?,SELECT Pop. Density (per km²) FROM table WHERE Municipal Mayor = Boy Quiat
What's the number of the episode seen by 2.24 million people in the US?,SELECT # FROM table WHERE U.S. viewers (million) = 2.24
"How many millions of people in the US saw the episode titled ""Rabid""?","SELECT U.S. viewers (million) FROM table WHERE Title = ""Rabid"""
How many different episode numbers are there for episodes directed by Wayne Rose?,SELECT COUNT # FROM table WHERE Directed by = Wayne Rose
"How many millions of people in the US saw the episode titled ""Kandor""?","SELECT U.S. viewers (million) FROM table WHERE Title = ""Kandor"""
How many wins does he get when he starts at 10?,SELECT Wins FROM table WHERE Starts = 10
How many wins does he have?,SELECT MAX Wins FROM table
What wast the percent cut for the nation with an 80% full gas storage?,SELECT % cut FROM table WHERE Gas storage = 80% full
"What was the gas storage status for the nation that had ""yes"" for alternative fuel?",SELECT Gas storage FROM table WHERE Alternative fuel = Yes
What was the percent cunt for the nation that had fuel oil stocks need only for industry as their fuel alternative?,SELECT % cut FROM table WHERE Alternative fuel = Fuel oil stocks need only for industry
