question,sql
On what date was the race course from Rome to Naples?,SELECT Date FROM table WHERE Course = rome to naples
Name the Losing BP with 22 played and 9 Try BP.,SELECT Losing BP FROM table WHERE Played = 22 AND Try BP = 9
Name the Losing BP with drawn of 1 and a Try BP of 6.,SELECT Losing BP FROM table WHERE Drawn = 1 AND Try BP = 6
Name the Losing BP of Newport Saracens RFC and has a Lost of 19.,SELECT Losing BP FROM table WHERE Lost = 19 AND Club = newport saracens rfc
Name the Drawn for Ystrad Rhondda RFC and has Played of 22.,SELECT Drawn FROM table WHERE Played = 22 AND Club = ystrad rhondda rfc
Can you name the drawn with a Lost of 1?,SELECT Drawn FROM table WHERE Lost = 1
"With a Losing BP of 8, what is the drawn?",SELECT Drawn FROM table WHERE Losing BP = 8
What is the number of disposals when marks is 134?,SELECT Disposals FROM table WHERE Marks = 134
What is the Score1 of Match 42?,SELECT Score1 FROM table WHERE Match = 42
On what date was the match higher than 8 on ground A against Guiseley?,SELECT Date FROM table WHERE Match > 8 AND Ground = a AND Opponent = guiseley
On what ground was the game on 31 Jul 2007?,SELECT Ground FROM table WHERE Date = 31 jul 2007
What is the total of David Toms?,SELECT SUM Total FROM table WHERE Player = david toms
What is the average of Fiji with t10 Finish?,SELECT AVG Total FROM table WHERE Finish = t10 AND Country = fiji
Who won in 1983?,SELECT Player FROM table WHERE Year(s) won = 1983
Which english website has a daily frequency ?,SELECT Website FROM table WHERE Language = english AND Frequency = daily
"What is the frequency of the newspaper, el diario de nuevo laredo in the city of nuevo laredo ?",SELECT Frequency FROM table WHERE City = nuevo laredo AND Name = el diario de nuevo laredo
What is the website of the Laredo Sun in the city of Laredo ?,SELECT Website FROM table WHERE City = laredo AND Name = laredo sun
What is the name of the newspaper with the website liderinformativo.com ?,SELECT Name FROM table WHERE Website = liderinformativo.com
Which website is in english and has the frequency of an online newspaper ?,SELECT Website FROM table WHERE Language = english AND Frequency = online newspaper
Which city has spanish news on the website ultimahora.com ?,SELECT City FROM table WHERE Language = spanish AND Website = ultimahora.com
Which line after 1959 had the highest amount of points?,SELECT MAX Points FROM table WHERE Year > 1959
Which line has the lowest amount of points and a year of 1954?,SELECT MIN Points FROM table WHERE Year = 1954
What is the total amount of points that Christy has in the years before 1954?,SELECT SUM Points FROM table WHERE Entrant = christy AND Year < 1954
"Which is the latest year that has an engine of Offenhauser l4, a chassis of Kurtis Kraft 500c, and the entrant of Federal Engineering?",SELECT MAX Year FROM table WHERE Engine = offenhauser l4 AND Chassis = kurtis kraft 500c AND Entrant = federal engineering
Which chasis was in the year 1954?,SELECT Chassis FROM table WHERE Year = 1954
What is the final score in 2007 for the world league in novi sad played against Italy?,SELECT Final score FROM table WHERE Year = 2007 AND Competition = world league AND Town = novi sad AND Opponent = italy
what is the competition played in budva against italy?,SELECT Competition FROM table WHERE Town = budva AND Opponent = italy
what is the competition that had a final score of 6:5?,SELECT Competition FROM table WHERE Final score = 6:5
who is the opponent when played in trieste before 2007?,SELECT Opponent FROM table WHERE Year < 2007 AND Town = trieste
What was Bob Jameson's lowest bonus where he had less than 15 rides?,SELECT MIN Bonus Pts FROM table WHERE Rider = bob jameson AND Rides < 15
How many rides did it take to get less than 3 bonus pts in no more than 7 matches?,SELECT MIN Rides FROM table WHERE Bonus Pts < 3 AND Matches < 7
"What is the total for 34 matches with 111 rides, but no more than 15 bonus points?",SELECT AVG Total Points FROM table WHERE Matches = 34 AND Rides = 111 AND Bonus Pts > 15
How many rides did it take Ray Day to get 274 points in total with less than 3 bonus points?,SELECT COUNT Rides FROM table WHERE Total Points < 274 AND Rider = ray day AND Bonus Pts > 3
Which rider had less than 342 points in no more than 76 rides in 7 matches with more than 2 bonus points?,SELECT Rider FROM table WHERE Total Points < 342 AND Rides < 76 AND Matches = 7 AND Bonus Pts > 2
"What is the Margin of victory on aug 11, 2002?","SELECT Margin of victory FROM table WHERE Date = aug 11, 2002"
When has a Winning score of –16 (70-65-65=200)?,SELECT Date FROM table WHERE Winning score = –16 (70-65-65=200)
"What is the Margin of victory on oct 5, 1997?","SELECT Margin of victory FROM table WHERE Date = oct 5, 1997"
"What is the Winning score on oct 22, 2000?","SELECT Winning score FROM table WHERE Date = oct 22, 2000"
How many episodes have a share of 16.2% and an episode number of less than 1?,SELECT COUNT Total Viewers FROM table WHERE Share = 16.2% AND Episode No. < 1
"If the French Open tournament had 2r in 2012, what was it in 2010?",SELECT 2010 FROM table WHERE 2012 = 2r AND Tournament = french open
Which 2012 tournament had 2r in 2010?,SELECT 2012 FROM table WHERE 2010 = 2r
Which tournament had 2r in 2010?,SELECT Tournament FROM table WHERE 2010 = 2r
"If the French Open tournament had 2r in 2012, what was it in 2009?",SELECT 2009 FROM table WHERE 2012 = 2r AND Tournament = french open
"If the US Open tournament had 2r in 2012, what was it in 2010?",SELECT 2010 FROM table WHERE 2012 = 2r AND Tournament = us open
"What is the school, when the Team is Senators?",SELECT School FROM table WHERE Team = senators
"What is the Season Outcome, when the School is Sussex Tech?",SELECT Season Outcome FROM table WHERE School = sussex tech
"What is the School, when the Team is Golden Knights?",SELECT School FROM table WHERE Team = golden knights
What is the Venue where the Result is 5–1?,SELECT Venue FROM table WHERE Result = 5–1
"What was the Score where Goal is larger than 11, and a Competition of 2009 nehru cup, and had a Date of 24 august 2009?",SELECT Score FROM table WHERE Goal > 11 AND Competition = 2009 nehru cup AND Date = 24 august 2009
What is the Result where Goal is 9?,SELECT Result FROM table WHERE Goal = 9
"What was Goal that where Competition of international friendly, and a Result of 2–1?",SELECT Goal FROM table WHERE Competition = international friendly AND Result = 2–1
"What is the Competition where the Score was 3–0, and the was Goal larger than 4?",SELECT Competition FROM table WHERE Score = 3–0 AND Goal > 4
What is the 2009 estimate population of the Northeast?,SELECT Population (2009 estimate) FROM table WHERE Name = northeast
What is the 2009 estimate population of the region with Manaus as the largest city?,SELECT Population (2009 estimate) FROM table WHERE Largest City = manaus
"How many states has a 2009 estimate population of 27,3 million?","SELECT Number of States FROM table WHERE Population (2009 estimate) = 27,3 million"
What is the largest metropolitan area of the Central-West?,SELECT Largest Metropolitan Area FROM table WHERE Name = central-west
What is the 2009 estimate population of the region with Manaus as the largest city?,SELECT Population (2009 estimate) FROM table WHERE Largest City = manaus
"Who was the leader at the summit when the stage was larger than 14, the category was 1, the start was Saint-Girons, and the finish was Cauterets?",SELECT Leader at the summit FROM table WHERE Stage > 14 AND Category = 1 AND Start = saint-girons AND Finish = cauterets
What was the earliest year that had a start of Saint-Gaudens and a stage smaller than 15?,SELECT MIN Year FROM table WHERE Start = saint-gaudens AND Stage < 15
Which Model had 37-78 seats?,SELECT Model FROM table WHERE Seats = 37-78
Which studio did The Oregon Trail?,SELECT Studio FROM table WHERE Title = the oregon trail
Which title had Muriel Evans as leading lady?,SELECT Title FROM table WHERE Leading lady = muriel evans
Who is the leading lady in The Lonely Trail?,SELECT Leading lady FROM table WHERE Title = the lonely trail
Who was the leading lady for Uni studio and Frank Strayer?,SELECT Leading lady FROM table WHERE Studio = uni AND Director = frank strayer
In which title was Ann Rutherford the leading lady for Joseph Kane?,SELECT Title FROM table WHERE Leading lady = ann rutherford AND Director = joseph kane
Who is the leading lady in The Lonely Trail for Joseph Kane?,SELECT Leading lady FROM table WHERE Director = joseph kane AND Title = the lonely trail
What was the Chassis with less than 8 points before 1960?,SELECT Chassis FROM table WHERE Year < 1960 AND Points < 8
Which Chassis has 0 points?,SELECT Chassis FROM table WHERE Points = 0
What were the total Pints after 1957?,SELECT SUM Points FROM table WHERE Year > 1957
What was the most recent year for Dean Van Lines?,SELECT MAX Year FROM table WHERE Entrant = dean van lines
"What Gold Coast has Auckland cancelled, and Adelaide yes?",SELECT Gold Coast FROM table WHERE Auckland = cancelled AND Adelaide = yes
Which Sydney has Auckland cancelled and Perth yes?,SELECT Sydney FROM table WHERE Auckland = cancelled AND Perth = yes
"Which Sydney has Gold Coast no, Adelaide no< and Auckland no?",SELECT Sydney FROM table WHERE Gold Coast = no AND Adelaide = no AND Auckland = no
"Which Gold Coast has Melbourne yes, and Auckland yes?",SELECT Gold Coast FROM table WHERE Melbourne = yes AND Auckland = yes
Which Perth has Auckland yes and Gold Coast yes?,SELECT Perth FROM table WHERE Auckland = yes AND Gold Coast = yes
"Which Gold Coast has Auckland no, Adelaide yes, and Melbourne no?",SELECT Gold Coast FROM table WHERE Auckland = no AND Adelaide = yes AND Melbourne = no
What round was on 7 January 2003?,SELECT Round FROM table WHERE Date = 7 january 2003
What is the result F_A on 17 December 2002?,SELECT Result F–A FROM table WHERE Date = 17 december 2002
What attendance was on 7 January 2003?,SELECT Attendance FROM table WHERE Date = 7 january 2003
Name the recording for 2012,SELECT Recording FROM table WHERE Year = 2012
Name the year with the best female pop vocal album and result of won,SELECT Year FROM table WHERE Category = best female pop vocal album AND Result = won
Name the category for 2013,SELECT Category FROM table WHERE Year = 2013
Which was the lowest gold when silver was smaller than 0?,SELECT MIN Gold FROM table WHERE Silver < 0
"Which is the highest total at rank 6, bronze 2, and gold larger than 0?",SELECT MAX Total FROM table WHERE Rank = 6 AND Bronze = 2 AND Gold > 0
Which is the highest bronze at Chinese Taipei when the rank was higher than 5 and total was smaller than 1?,SELECT MAX Bronze FROM table WHERE Rank > 5 AND Nation = chinese taipei AND Total < 1
Name the US dance when the year is more than 1985,SELECT U.S. Dance FROM table WHERE Year > 1985
Name the US Hot 100 for album of I like you,SELECT U.S. Hot 100 FROM table WHERE Album = i like you
Name the US R&B for 1981,SELECT U.S. R&B FROM table WHERE Year = 1981
Who was the writer when Parkville Pictures Ltd was the recipient?,SELECT Writer(s) FROM table WHERE Recipient = parkville pictures ltd
"Alex Winckler wrote the film, who was the director?",SELECT Director(s) FROM table WHERE Writer(s) = alex winckler
On what date was Edward Jeffreys the writer?,SELECT Date FROM table WHERE Writer(s) = edward jeffreys
"What date was the award of £6,600 was given?","SELECT Date FROM table WHERE Award = £6,600"
Who was the director that had a recipient of Redbag Pictures Ltd?,SELECT Director(s) FROM table WHERE Recipient = redbag pictures ltd
What's the name of the award that Edward Jeffreys was the writer?,SELECT Award FROM table WHERE Writer(s) = edward jeffreys
Who is the Player born in 1981?,SELECT Player FROM table WHERE Year born = 1981
What is the Height that has a year born before 1977,SELECT COUNT Height FROM table WHERE Year born < 1977
"What is the lowest Total Region that has a Year after 2001, and a Broadsound greater than 6,843?","SELECT MIN Total Region FROM table WHERE Year > 2001 AND Broadsound > 6,843"
"What is the highest Total Region that has a Broadsound greater than 1,590, a Year after 1966, a Belyando greater than 11,362, and a Nebo of 914?","SELECT MAX Total Region FROM table WHERE Broadsound > 1,590 AND Year > 1966 AND Belyando > 11,362 AND Nebo = 914"
"What is the sum of Total Regions that have the Year 1954, and a Nebo greater than 447?",SELECT SUM Total Region FROM table WHERE Year = 1954 AND Nebo > 447
"Before the Year 1947, what is the sum of Broadsound that have a Belyando greater than 11,362, and a Total Region equal to 5,016?","SELECT SUM Broadsound FROM table WHERE Belyando > 11,362 AND Total Region = 5,016 AND Year < 1947"
"After 2001, what is the sum of Belyando that have a Nebo greater than 2,522?","SELECT SUM Belyando FROM table WHERE Nebo > 2,522 AND Year > 2001"
What is the number of Bronze for the Nation of Uganda with less than 2 Gold and Total medals?,SELECT COUNT Bronze FROM table WHERE Gold < 2 AND Nation = uganda AND Total > 2
"With less than 7 Silver medals, how many Gold medals did Canada receive?",SELECT MAX Gold FROM table WHERE Nation = canada AND Silver < 7
"What is the outcome of a score that is 6–1, 6–4?","SELECT Outcome FROM table WHERE Score = 6–1, 6–4"
"What is the surface of the score, 7–6 (7–3) , 6–3?","SELECT Surface FROM table WHERE Score = 7–6 (7–3) , 6–3"
What venue did he play in before 2008 and finished 14th (q)?,SELECT Venue FROM table WHERE Year < 2008 AND Position = 14th (q)
"What competition did he compete in before 2007 in gothenburg, sweden?","SELECT Competition FROM table WHERE Year < 2007 AND Venue = gothenburg, sweden"
What venue did he finish 7th?,SELECT Venue FROM table WHERE Position = 7th
Name the most performances for geoffrey fitton,SELECT MAX Performances FROM table WHERE Role = geoffrey fitton
"Name the role for Feb 4, 1961 closing date","SELECT Role FROM table WHERE Closing date = feb 4, 1961"
Name the theatre for aaron jablonski schuyler grogan with performances more than 49,SELECT Theatre FROM table WHERE Performances > 49 AND Role = aaron jablonski schuyler grogan
What are the titles for episodes prior to episode 4?,SELECT Title FROM table WHERE No. in series < 4
What are the titles for episodes prior to episode 4?,SELECT Title FROM table WHERE No. in series < 4
What the air dates for the episodes are episode 3 in the series?,SELECT Original air date FROM table WHERE No. in series > 3
How many laps resulted from a Qual of 165.229?,SELECT MAX Laps FROM table WHERE Qual = 165.229
"Whent he start was 15, what was the Qual?",SELECT Qual FROM table WHERE Start = 15
What was the start result with a Rank of 7 and more than 100 laps?,SELECT Start FROM table WHERE Rank = 7 AND Laps > 100
Who was the shirt sponsor for the Blackburn Rovers?,SELECT Shirt sponsor FROM table WHERE Team = blackburn rovers
Who was the team captain of the Bolton Wanderers?,SELECT Captain FROM table WHERE Team = bolton wanderers
For which team did Adidas manufacture kits and TDK sponsor shirts?,SELECT Team FROM table WHERE Kit manufacturer = adidas AND Shirt sponsor = tdk
On which team was Robbie Earle the captain?,SELECT Team FROM table WHERE Captain = robbie earle
Who was the manager for the team with captain Neil Redfearn?,SELECT Manager 1 FROM table WHERE Captain = neil redfearn
Who was the team captain for Crystal Palace?,SELECT Captain FROM table WHERE Team = crystal palace
"drop goals larger than 0, and a Penalties of 52, and a Number larger than 5 had what lowest score?",SELECT MIN Score FROM table WHERE drop goals > 0 AND Penalties = 52 AND Number > 5
"Player of jaco coetzee, and a Tries larger than 6 had what total number of score?",SELECT COUNT Score FROM table WHERE Player = jaco coetzee AND Tries > 6
What is the highest round that has a draftee from Washington State University?,SELECT MAX Round FROM table WHERE School = washington state university
What round was Bob Randall selected in?,SELECT MAX Round FROM table WHERE Name = bob randall
Name the Ont of N.B. of 10 and normal total of 77,SELECT Ont. FROM table WHERE N.B. = 10 AND Normal total = 77
Name the date enacted for N.S. of 10 and normal total of 104,SELECT Date enacted FROM table WHERE N.S. = 10 AND Normal total = 104
Name the NS with normal total of 102,SELECT N.S. FROM table WHERE Normal total = 102
Name the normal with que of 24,SELECT Normal total FROM table WHERE Que. = 24
