question,sql
Which home team has a venue of Arden Street Oval?,SELECT Home team FROM table WHERE Venue = arden street oval
Which away team has a venue of Arden Street Oval?,SELECT Away team FROM table WHERE Venue = arden street oval
What is the value for 2011 corresponding to a 2007 value of 1r?,SELECT 2011 FROM table WHERE 2007 = 1r
What value in 2013 corresponds to Grand Slam Tournaments in 2012?,SELECT 2013 FROM table WHERE 2012 = grand slam tournaments
What is the 2012 value when the 2011 and 2007 values are 1R?,SELECT 2012 FROM table WHERE 2011 = 1r AND 2007 = 1r
What value for 2013 corresponds to the US Open Tournament?,SELECT 2013 FROM table WHERE Tournament = us open
The school nicknamed the wildcats has what sum of enrollment?,SELECT SUM Enrollment FROM table WHERE Team Nickname = wildcats
"What is the Founded year of the school located in Paul Smiths, New York?","SELECT Founded FROM table WHERE Location = paul smiths, new york"
What home side scored 9.4 (58)?,SELECT Home team FROM table WHERE Home team score = 9.4 (58)
What was fitzroy's away side score?,SELECT Away team score FROM table WHERE Away team = fitzroy
What is the away team's score when the home side scores 9.4 (58)?,SELECT Away team score FROM table WHERE Home team score = 9.4 (58)
What player attended UAB college?,SELECT Player FROM table WHERE College = uab
What was the score of the game at RIch Stadium?,SELECT Result FROM table WHERE Stadium = rich stadium
Who had the best time of 1:32.269?,SELECT Name FROM table WHERE Best = 1:32.269
Who from Conquest Racing had the best time of 1:34.748 in Qual 1?,SELECT Best FROM table WHERE Team = conquest racing AND Qual 1 = 1:34.748
Who in Qual 2 had the best time of 1:31.327?,SELECT Qual 2 FROM table WHERE Best = 1:31.327
What was Dan Selznick best time?,SELECT Best FROM table WHERE Name = dan selznick
What team had 1:34.578 in Qual 2?,SELECT Team FROM table WHERE Qual 2 = 1:34.578
Jiang Tengyi is on which team?,SELECT Team FROM table WHERE Name = jiang tengyi
What is the away team's score when footscray is the away team?,SELECT Away team score FROM table WHERE Away team = footscray
What venue has an Away team score of 8.8 (56)?,SELECT Venue FROM table WHERE Away team score = 8.8 (56)
Whom is the away team when the Away team score is 23.14 (152)?,SELECT Away team FROM table WHERE Away team score = 23.14 (152)
Whom is the home team when the home team score is 12.13 (85)?,SELECT Home team FROM table WHERE Home team score = 12.13 (85)
What was the rank for czechoslovakia with 1 bronze?,SELECT Rank FROM table WHERE Bronze = 1 AND Nation = czechoslovakia
How many bronze medals for the nation with over 9 golds?,SELECT COUNT Bronze FROM table WHERE Gold > 9
"What is the average number of goals that occurred in Hong Kong Stadium, Hong Kong?","SELECT AVG Goals FROM table WHERE Venue = hong kong stadium, hong kong"
Which country uses pound sterling with a value higher than 1.33 USD?,SELECT Country FROM table WHERE Value in USD > 1.33 AND Currency = pound sterling
"Who is the away side, when the home side scores 13.22 (100)?",SELECT Away team FROM table WHERE Home team score = 13.22 (100)
What venue features carlton at home?,SELECT Venue FROM table WHERE Home team = carlton
What venue features fitzroy as the away side?,SELECT Venue FROM table WHERE Away team = fitzroy
What was the crowd size when the home team scored 17.14 (116)?,SELECT Crowd FROM table WHERE Home team score = 17.14 (116)
What was the smallest crowd that Melbourne played for at home?,SELECT MIN Crowd FROM table WHERE Home team = melbourne
What was the home teams score when the away team scored 7.5 (47)?,SELECT Home team score FROM table WHERE Away team score = 7.5 (47)
What was the home teams score at Victoria Park?,SELECT Home team score FROM table WHERE Venue = victoria park
What was the away team against which the home team scored 10.14 (74)?,SELECT Away team FROM table WHERE Home team score = 10.14 (74)
What home team played the away team of Richmond?,SELECT Home team FROM table WHERE Away team = richmond
"What is the high score for the player with 0 stumps, 4 catches, more than 14 inns and an average smaller than 56.1?",SELECT SUM High Score FROM table WHERE Stump = 0 AND Catches = 4 AND Average < 56.1 AND Inns > 14
What is the total number of runs for the player with fewer than 9 Inns?,SELECT COUNT Runs FROM table WHERE Inns < 9
