question,sql
What date was the loss of ponson (4–3)?,SELECT Date FROM table WHERE Loss = ponson (4–3)
What date was the loss of sparks (0–1)?,SELECT Date FROM table WHERE Loss = sparks (0–1)
"What is the position of the competition in Tampere, Finland?","SELECT Position FROM table WHERE Venue = tampere, finland"
"What is the lowest total that has draws less than 2 and wins less than 1, losses bigger than 1 with a goal difference of 1:2",SELECT MIN Total FROM table WHERE Draws < 2 AND Wins < 1 AND Goal difference = 1:2 AND Losses > 1
What is the average number of draws that have a total of 1 and a goal difference of 2:0?,SELECT AVG Draws FROM table WHERE Total = 1 AND Goal difference = 2:0
What is the lowest number of draws that have a goal difference of 0:2 and wins greater than 0?,SELECT MIN Draws FROM table WHERE Goal difference = 0:2 AND Wins > 0
"What regular season had an average attendance of 1,242?","SELECT Reg. Season FROM table WHERE Avg. attendance † = 1,242"
What league has an average attendance of 244?,SELECT League FROM table WHERE Avg. attendance † = 244
On what date was the opponent the White Sox and the record 18-13?,SELECT Date FROM table WHERE Opponent = white sox AND Record = 18-13
What was the average attendance when the record was 19-13?,SELECT AVG Attendance FROM table WHERE Record = 19-13
"What was the Loss when the opponent was the Rangers and the attendance was greater than 43,211?","SELECT Loss FROM table WHERE Opponent = rangers AND Attendance > 43,211"
What was the 2012 result associated with a 2007 finish of 2R and a 2009 of 1R?,SELECT 2012 FROM table WHERE 2007 = 2r AND 2009 = 1r
What was the 2009 result associated with a 2012 of 1R and a 2007 of 2R?,SELECT 2009 FROM table WHERE 2012 = 1r AND 2007 = 2r
What was the 2008 result associated with a 2009 of A and a 2011 of 2R?,SELECT 2008 FROM table WHERE 2009 = a AND 2011 = 2r
In which tournament did Pauline Parmentier finish LQ in 2007?,SELECT Tournament FROM table WHERE 2007 = lq
Name the player name with matches of 51,SELECT Player name FROM table WHERE Matches = 51
Name the position for brazil 2008 with goals of 0 1,SELECT Position FROM table WHERE Country = brazil AND Period = 2008 AND Goals = 0 1
Name the goals with matches of 21,SELECT Goals FROM table WHERE Matches = 21
Name the period with matches of 0 0 of portugal,SELECT Period FROM table WHERE Matches = 0 0 AND Country = portugal
Name the opponents for round of round 5,SELECT Opponents FROM table WHERE Round = round 5
Name the attendance for 4 january 2004,SELECT Attendance FROM table WHERE Date = 4 january 2004
Name the most attendance for 25 january 2004,SELECT MAX Attendance FROM table WHERE Date = 25 january 2004
What is the average Attendance for the final round?,SELECT AVG Attendance FROM table WHERE Round = final
What is the smallest number of people to attend a game with an H/A of h and the opponent was Roma?,SELECT MIN Attendance FROM table WHERE H / A = h AND Opponents = roma
Which game does the quentyn martell have?,SELECT Game FROM table WHERE POV character = quentyn martell
Which storm has a clash of 3 and a dance of 4?,SELECT Storm FROM table WHERE Dance = 4 AND Clash = 3
"Name the melbourne with perth, adelaide and auckland of no with sydney of yes",SELECT Melbourne FROM table WHERE Perth = no AND Adelaide = no AND Auckland = no AND Sydney = yes
Name the gold coast which has an auckland of no and melbourne of yes,SELECT Gold Coast FROM table WHERE Auckland = no AND Melbourne = yes
"Name the sydney with perth of no, adelaide of no with melbourne of yes and gold coast of yes",SELECT Sydney FROM table WHERE Perth = no AND Adelaide = no AND Melbourne = yes AND Gold Coast = yes
Name the Adelaide for Sydney of yes and Perth of yes,SELECT Adelaide FROM table WHERE Sydney = yes AND Perth = yes
