question,sql
What is the average pick for Princeton after round 3?,SELECT AVG Pick FROM table WHERE Round > 3 AND College = princeton
What is the earliest round Clark was in?,SELECT MIN Round FROM table WHERE College = clark
What is the tie number when the home team was gillingham?,SELECT Tie no FROM table WHERE Home team = gillingham
What was the score when the home team was goole town?,SELECT Score FROM table WHERE Home team = goole town
What date had the home team as brentford?,SELECT Date FROM table WHERE Home team = brentford
What was the tie number when bradford park avenue was the away team?,SELECT Tie no FROM table WHERE Away team = bradford park avenue
What shows for House 1950 when the Governors 1950 show governors 1995?,SELECT House 1950 FROM table WHERE Governors 1950 = governors 1995
What shows for House 1950 when the General 1950 is general 1986?,SELECT House 1950 FROM table WHERE General 1950 = general 1986
What is the Governors 1950 when the General 1950 is general 1979?,SELECT Governors 1950 FROM table WHERE General 1950 = general 1979
"What shows for House 1950 with a 1950 less than 1980, and Governors 1950 of governors 1970?",SELECT House 1950 FROM table WHERE 1950 < 1980 AND Governors 1950 = governors 1970
"What's the average year for the good things happening album's single ""lady lady lay""?","SELECT AVG Year FROM table WHERE Album = good things happening AND Single = ""lady lady lay"""
"What album came out before 1975 with the dawn record label and the single ""lady lady lay""?","SELECT Album FROM table WHERE Year < 1975 AND Record label = dawn AND Single = ""lady lady lay"""
"What's the earliest year listed for ""where are you going to my love"" from the album united we stand?","SELECT MIN Year FROM table WHERE Album = united we stand AND Single = ""where are you going to my love"""
What month before 1973 is listed for the album united we stand?,SELECT Month FROM table WHERE Year < 1973 AND Album = united we stand
"What is the name of the river found in Madhya Pradesh, India?",SELECT Name of the River FROM table WHERE Name of the State where found in India = madhya pradesh
What is the name of the deity that the state of Bihar was named after?,SELECT Name of Deity FROM table WHERE Name of the State where found in India = bihar
What is the name of the diety for the river of sone?,SELECT Name of Deity FROM table WHERE Name of the River = sone
"What is the name of the stone found in Andhra Pradesh, India?",SELECT Name of the Stone (Sila) FROM table WHERE Name of the State where found in India = andhra pradesh
What date was the game score 103-94?,SELECT Date FROM table WHERE Score = 103-94
Who is the away team that played home team of Perth Wildcats?,SELECT Away team FROM table WHERE Home team = perth wildcats
What is the score of the game that was played on 29 November at State Sports Centre?,SELECT Score FROM table WHERE Date = 29 november AND Venue = state sports centre
What date did home team Gold Coast Blaze play?,SELECT Date FROM table WHERE Home team = gold coast blaze
What kind of report was for the game played on 29 November with Melbourne Tigers being the away team?,SELECT Report FROM table WHERE Date = 29 november AND Away team = melbourne tigers
Who is the away team that played home team Perth Wildcats?,SELECT Away team FROM table WHERE Home team = perth wildcats
Who did they play in week 11?,SELECT Opponent FROM table WHERE Week = 11
What day did they play in week 6?,SELECT Date FROM table WHERE Week = 6
Name the Date which has a Score of 3-1 and Attendances of 32 590?,SELECT Date FROM table WHERE Score = 3-1 AND Attendance = 32 590
Which Venue is on 2004-07-24?,SELECT Venue FROM table WHERE Date = 2004-07-24
Which Score has a Venue of idrottsparken?,SELECT Score FROM table WHERE Venue = idrottsparken
Which Comp is on 2004-10-17?,SELECT Comp FROM table WHERE Date = 2004-10-17
Which Venue has a Opponents of halmstad and a Score of 1-1?,SELECT Venue FROM table WHERE Opponents = halmstad AND Score = 1-1
Which Attendance that has a Venue of ryavallen?,SELECT Attendance FROM table WHERE Venue = ryavallen
"What is Tournament, when Outcome is Winner, and when Date is 13 July 2013?",SELECT Tournament FROM table WHERE Outcome = winner AND Date = 13 july 2013
"What is Date, when Outcome is Winner, and when Opponent is An-Sophie Mestach?",SELECT Date FROM table WHERE Outcome = winner AND Opponent = an-sophie mestach
"What is Score, when Date is 10 July 2011?",SELECT Score FROM table WHERE Date = 10 july 2011
What network has a Play-by-play by Jack Edwards in 2000?,SELECT Network FROM table WHERE Play-by-play = jack edwards AND Year = 2000
What is the name of the pregame host when Bold was the network?,SELECT Pregame host FROM table WHERE Network = bold
"What was the Play-by-play when the color commentator was Eric Wynalda, earlier than 2005?",SELECT Play-by-play FROM table WHERE Color commentator(s) = eric wynalda AND Year < 2005
"What is the name of the pregame host when the Play-by-play was by JP Dellacamera, earlier than 2009, and Color commentator(s) was Ty Keough?",SELECT Pregame host FROM table WHERE Play-by-play = jp dellacamera AND Year < 2009 AND Color commentator(s) = ty keough
"What date was the score 3–0, and set 1 was 25–22?",SELECT Date FROM table WHERE Score = 3–0 AND Set 1 = 25–22
What date was the total 56–75?,SELECT Date FROM table WHERE Total = 56–75
What is the Set 1 when Set 3 was 25–15?,SELECT Set 1 FROM table WHERE Set 3 = 25–15
What date was the total 75–45?,SELECT Date FROM table WHERE Total = 75–45
What is the sum of the dates in december that were against the atlanta flames before game 40?,SELECT SUM December FROM table WHERE Opponent = atlanta flames AND Game < 40
