question,sql
Where was the attempt on the Prime Minister of Sri Lanka's life made?,SELECT Location FROM table WHERE Title at the Time = Prime Minister of Sri Lanka
What is every original language for book series Little House on the Prairie?,SELECT Original language FROM table WHERE Book series = Little House on the Prairie
What are all approximate sales for the author Laura Ingalls Wilder?,SELECT Approximate sales FROM table WHERE Author = Laura Ingalls Wilder
Name the most number for notre dame prep,SELECT MAX # FROM table WHERE Former School = Notre Dame Prep
Name the ends won for blank ends for 0,SELECT Ends Won FROM table WHERE Blank Ends = 0
Name the stolen ends for germany,SELECT MIN Stolen Ends FROM table WHERE Country = Germany
Name the least ends won for pf being 78,SELECT MIN Ends Won FROM table WHERE PF = 78
What is the stadium in Kuopio?,SELECT Stadium FROM table WHERE Location = Kuopio
Who is the kitmaker for TPS?,SELECT Kitmaker FROM table WHERE Club = TPS
What is the largest capacity for a stadium?,SELECT MAX Capacity FROM table
Which stadium is managed by Kari Martonen?,SELECT Stadium FROM table WHERE Manager = Kari Martonen
How many capacities are given for FF Jaro club?,SELECT COUNT Capacity FROM table WHERE Club = FF Jaro
How many managers for club in Turku where kitmaker is Puma?,SELECT COUNT Manager FROM table WHERE Kitmaker = Puma AND Location = Turku
How many times was episode 5 in the series aired on Fox int.?,SELECT COUNT Fox Int. Channels air date FROM table WHERE Series # = 5
What was the qualifying score of the competition whose final score was 12.200?,SELECT Score-Qualifying FROM table WHERE Score-Final = 12.200
Where was the competition with a qualifying score of 58.425?,SELECT Location FROM table WHERE Score-Qualifying = 58.425
How many competitions had a final score of 15.650?,SELECT COUNT Competition Description FROM table WHERE Score-Final = 15.650
"In what year was the score 7–5, 7–6 (7–5)?","SELECT Year FROM table WHERE Score = 7–5, 7–6 (7–5)"
"When the opponent was Yan Zi Jie Zheng, what was the outcome?",SELECT Outcome FROM table WHERE Opponents = Yan Zi Jie Zheng
"In the year 2013, what was the outcome?",SELECT Outcome FROM table WHERE Year = 2013
"Who was the partner when the score was 7–5, 7–6 (7–5)?","SELECT Partner FROM table WHERE Score = 7–5, 7–6 (7–5)"
"When the surface was Hard (i), what was the score?",SELECT Score FROM table WHERE Surface = Hard (i)
In which championship was the partner Jie Zheng?,SELECT Championship FROM table WHERE Partner = Jie Zheng
What are the number of points for associated with exactly 3 stolen ends?,SELECT COUNT PF FROM table WHERE Stolen Ends = 3
How many position did a player took while weighing 170?,SELECT COUNT Position FROM table WHERE Weight = 170
"What were the former schools of the player from East Brunswick, NJ?","SELECT Former school FROM table WHERE Hometown = East Brunswick, NJ"
What was the height of this Freshman with a forward position?,SELECT Height FROM table WHERE Position = Forward AND Year = Freshman
"If the date of birth is 1961-08-09 9 august 1961, what is the start date of (first) term?",SELECT Start date of (first) term FROM table WHERE Date of birth = 1961-08-09 9 August 1961
"If the prime minister is Palmer, Geoffrey Geoffrey Palmer, what is the end date of (final) term?","SELECT End date of (final) term FROM table WHERE Prime Minister = Palmer, Geoffrey Geoffrey Palmer"
What is the population if the city is Gilroy?,SELECT Population FROM table WHERE City = Gilroy
"If Democratic is 42.5%, what is the city?",SELECT City FROM table WHERE Democratic = 42.5%
"If the registered voters is 66.8%, what is the minimum population?",SELECT MIN Population FROM table WHERE Registered voters = 66.8%
What is the other is the city is Los Gatos?,SELECT Other FROM table WHERE City = Los Gatos
What is the d-r spread if the no party preference is 31.8%?,SELECT D–R spread FROM table WHERE No party preference = 31.8%
"If the city is Santa Clara, what is the population total number?",SELECT COUNT Population FROM table WHERE City = Santa Clara
In what prefecture is Susaki located?,SELECT Prefecture FROM table WHERE City/Town = Susaki
How many previous years did Maebashi Ikuei high school have a total number of 1 participation?,SELECT COUNT Year of Previous Participation FROM table WHERE Total Number of Participation = 1 AND High School Name = Maebashi Ikuei
In what prefecture is Nihon Bunri located?,SELECT Prefecture FROM table WHERE High School Name = Nihon Bunri
In what prefecture is Daito located?,SELECT Prefecture FROM table WHERE City/Town = Daito
Which high school is located in Kyoto?,SELECT High School Name FROM table WHERE Prefecture = Kyoto
What was the year of previous participation for the school in the Kagoshima prefecture?,SELECT Year of Previous Participation FROM table WHERE Prefecture = Kagoshima
"What was the data on January 15-16 if March 27-29 is March 29, 2006?","SELECT January 15-16 FROM table WHERE March 27-29 = March 29, 2006"
"What was the data on November 3, if the data on January 15-16 is January 15, 2010?","SELECT November 3 FROM table WHERE January 15-16 = January 15, 2010"
How many datas were recorded on January 15-16 if August 21-22 is 155?,SELECT COUNT January 15-16 FROM table WHERE August 21-22 = 155
"What was the data on January 15-16 if the data recorded June 10-11 is June 10, 1964?","SELECT January 15-16 FROM table WHERE June 10-11 = June 10, 1964"
How many data are on points for if the percentage is 94.29?,SELECT COUNT Points for FROM table WHERE Percentage (%) = 94.29
Who was the opponent with a points for of 177?,SELECT Opponent FROM table WHERE Points for = 177
What was the minimum points against if the opponent is Port Adelaide?,SELECT MIN Points against FROM table WHERE Opponent = Port Adelaide
"If Thursday 3 June is 20' 27.93 110.615mph, what are the names of the riders?",SELECT Rider FROM table WHERE Thurs 3 June = 20' 27.93 110.615mph
What is the Tuesday 1 June total number if Monday 31 May is 20' 15.35 111.761mph?,SELECT COUNT Tues 1 June FROM table WHERE Mon 31 May = 20' 15.35 111.761mph
What is Friday 4 June if Wednesday 2 June is 20' 11.98 112.071mph?,SELECT Fri 4 June FROM table WHERE Wed 2 June = 20' 11.98 112.071mph
"If Tuesday 1 June is 21' 05.27 107.351mph, what is the rider total number?",SELECT COUNT Rider FROM table WHERE Tues 1 June = 21' 05.27 107.351mph
"If Tuesday 1 June is 20' 59.60 107.834mph, what is the rank maximum?",SELECT MAX Rank FROM table WHERE Tues 1 June = 20' 59.60 107.834mph
What is the Friday 4 June if the Wednesday 2 June is 20' 50.62 108.608mph?,SELECT Fri 4 June FROM table WHERE Wed 2 June = 20' 50.62 108.608mph
What is the 2 June time for the rider with time of 17' 48.58 127.111mph on 3 June?,SELECT Wed 2 June FROM table WHERE Thurs 3 June = 17' 48.58 127.111mph
How many times are listed for 31 May for the rider ranked 5?,SELECT COUNT Mon 31 May FROM table WHERE Rank = 5
What is the 3 June time for the rider with 2 June time of 17' 45.11 127.525mph?,SELECT Thurs 3 June FROM table WHERE Wed 2 June = 17' 45.11 127.525mph
Who is ranked 2?,SELECT Rider FROM table WHERE Rank = 2
"How many times does November 3rd occur when January 15, 1991 does?","SELECT COUNT November 3 FROM table WHERE January 15-16 = January 15, 1991"
When November is 153 what is the March number?,SELECT March 27-29 FROM table WHERE November 3 = 153
"How many times does an occurance happen in June when it happens on NOvember 3, 1975?","SELECT COUNT June 10-11 FROM table WHERE November 3 = November 3, 1975"
When march is 129 what is the August number?,SELECT August 21-22 FROM table WHERE March 27-29 = 129
How many numbers are there for August when March is 139?,SELECT COUNT August 21-22 FROM table WHERE March 27-29 = 139
