question,sql
At what track resulted in Fausto Gresini winning the 125 cc and Carlos Lavado winning the 250 cc?,SELECT Track FROM table WHERE 125 cc = fausto gresini AND 250 cc = carlos lavado
Who won the 250 cc in 1985?,SELECT 250 cc FROM table WHERE Year = 1985
Which opponent has 1-1 as the record?,SELECT Opponent FROM table WHERE Record = 1-1
"What record has magomedkhan gamzatkhanov as the opponent, and submission as the method?",SELECT Record FROM table WHERE Opponent = magomedkhan gamzatkhanov AND Method = submission
What round has 3-4 as the record?,SELECT Round FROM table WHERE Record = 3-4
"What record has loss as the res., 1 for the round, and akira maeda as the opponent?",SELECT Record FROM table WHERE Res. = loss AND Round = 1 AND Opponent = akira maeda
What record has decision (majority) as the method?,SELECT Record FROM table WHERE Method = decision (majority)
"What is Agg., when Team 1 is CD Elá Nguema?",SELECT Agg. FROM table WHERE Team 1 = cd elá nguema
"What is 1st Leg, when 2nd Leg is 1-3?",SELECT 1st leg FROM table WHERE 2nd leg = 1-3
"What is 1st Leg, when 2nd Leg is 0-1?",SELECT 1st leg FROM table WHERE 2nd leg = 0-1
"What is Team 2, when 2nd Leg is 1-0?",SELECT Team 2 FROM table WHERE 2nd leg = 1-0
"What is Team 2, when 2nd Leg is 2-1?",SELECT Team 2 FROM table WHERE 2nd leg = 2-1
"What is Team 2, when 2nd Leg is 0-3 1?",SELECT Team 2 FROM table WHERE 2nd leg = 0-3 1
What was Jim Colbert's score?,SELECT Score FROM table WHERE Player = jim colbert
What country scored 69-69-73=211?,SELECT Country FROM table WHERE Score = 69-69-73=211
What country does Bobby Nichols play for?,SELECT Country FROM table WHERE Player = bobby nichols
"WHAT IS THE TIME/ RETIRED WITH A HONDA MANUFACTURER, GRID 8?",SELECT Time/Retired FROM table WHERE Manufacturer = honda AND Grid = 8
"WHAT IS THE MANUFACTURER WITH 24 LAPS, AND +1.965 TIME/RETIRED?",SELECT Manufacturer FROM table WHERE Laps = 24 AND Time/Retired = +1.965
"WHAT IS THE GRID OF HONDA, WITH 24 LAPS AND  Time/Retired of +13.997?",SELECT Grid FROM table WHERE Manufacturer = honda AND Laps = 24 AND Time/Retired = +13.997
WHAT IS THE LAPS WITH A GRID OF 26?,SELECT Laps FROM table WHERE Grid = 26
WHAT IS THE RIDER WITH A 21 GRID?,SELECT Rider FROM table WHERE Grid = 21
WHAT IS THE MANUFACTURER WITH 24 LAPS AND GRID 27?,SELECT Manufacturer FROM table WHERE Laps = 24 AND Grid = 27
What is the most recent year georgia tech chose a linebacker?,SELECT MAX Year [A ] FROM table WHERE Position = linebacker AND College = georgia tech
Who is the player from Spain that has a +2 to par?,SELECT Player FROM table WHERE To par = +2 AND Country = spain
Name the country with a score of 69-71=140.,SELECT Country FROM table WHERE Score = 69-71=140
What's the to par for Hale Irwin of the United States?,SELECT To par FROM table WHERE Country = united states AND Player = hale irwin
What's the to par for Jim Thorpe in T5 Place?,SELECT To par FROM table WHERE Place = t5 AND Player = jim thorpe
What was Jack Nicklaus's score after round 1?,SELECT MIN Score FROM table WHERE Player = jack nicklaus
"Which Laps have a Time of +39.476, and a Grid larger than 11?",SELECT AVG Laps FROM table WHERE Time = +39.476 AND Grid > 11
"Which Time has Laps smaller than 28, and a Rider of nicky hayden?",SELECT Time FROM table WHERE Laps < 28 AND Rider = nicky hayden
"Which Rider has a Grid larger than 6, and has Laps of 28, and a Time of +39.476?",SELECT Rider FROM table WHERE Grid > 6 AND Laps = 28 AND Time = +39.476
"Which Bronze has a Total of 4, and a Gold smaller than 1?",SELECT MIN Bronze FROM table WHERE Total = 4 AND Gold < 1
"Which Bronze has a Silver larger than 1, a Total larger than 3, a Nation of turkey, and a Gold smaller than 2?",SELECT SUM Bronze FROM table WHERE Silver > 1 AND Total > 3 AND Nation = turkey AND Gold < 2
"Which Gold has a Bronze of 1, and a Total smaller than 3?",SELECT AVG Gold FROM table WHERE Bronze = 1 AND Total < 3
In what Week is the Opponent the New Orleans Saints?,SELECT AVG Week FROM table WHERE Opponent = new orleans saints
"In what Weeks is the game against the Tampa Bay Buccaneers with less than 44,506 in Attendance?","SELECT SUM Week FROM table WHERE Opponent = tampa bay buccaneers AND Attendance < 44,506"
"What is the Opponent in the game in Week 6 with more than 42,910 in Attendance?","SELECT Opponent FROM table WHERE Attendance > 42,910 AND Week = 6"
"What team was home, when the record was 24–16–6?",SELECT Home FROM table WHERE Record = 24–16–6
