question,sql
Which permanent account has registration of invite-only and userpics free of unknown?,SELECT Permanent Account FROM table WHERE Userpics Free = unknown AND Registration = invite-only
What is the year began for the site with free userpics cost of $1 and a userpics paid value of N/A?,SELECT Year Began FROM table WHERE Userpics Paid = n/a AND Userpics Free = 1
Which Week has a Tournament of monte carlo?,SELECT Week FROM table WHERE Tournament = monte carlo
Which Winner and score has a Finalist of aaron krickstein?,SELECT Winner and score FROM table WHERE Finalist = aaron krickstein
"Which Semifinalists have a Surface of hard, and a Winner and score of pete sampras 6–3, 3–6, 6–3?","SELECT Semifinalists FROM table WHERE Surface = hard AND Winner and score = pete sampras 6–3, 3–6, 6–3"
"Which Finalist has a Winner and score of boris becker 7–6(3), 6–3, 3–6, 6–3?","SELECT Finalist FROM table WHERE Winner and score = boris becker 7–6(3), 6–3, 3–6, 6–3"
Which Semifinalists have a Finalist of andrei chesnokov?,SELECT Semifinalists FROM table WHERE Finalist = andrei chesnokov
Which Surface has Semifinalists of wally masur malivai washington?,SELECT Surface FROM table WHERE Semifinalists = wally masur malivai washington
What place had a score of 73-69-68=210?,SELECT Place FROM table WHERE Score = 73-69-68=210
What country is Gary Player from in T9 place?,SELECT Country FROM table WHERE Place = t9 AND Player = gary player
What's the score of New Zealand?,SELECT Score FROM table WHERE Country = new zealand
What player has a score of 67-70-77=214?,SELECT Player FROM table WHERE Score = 67-70-77=214
What country has a finish of 59?,SELECT Country FROM table WHERE Finish = 59
What is the To Par when the finish was t16 and the player was Julius Boros?,SELECT To par FROM table WHERE Finish = t16 AND Player = julius boros
What was the finish for Billy Casper?,SELECT Finish FROM table WHERE Player = billy casper
"Who is the competitor with a downhill of more than 55, and 1st DQ run?",SELECT Competitor FROM table WHERE Downhill > 55 AND 1st run = dq
"What is the 1st run that is down hill less than 46, and 84.45 points?",SELECT 1st run FROM table WHERE Downhill < 46 AND Points = 84.45
What ground has 0.14.1.6 (93) as the home team score?,SELECT Ground FROM table WHERE Home team score = 0.14.1.6 (93)
What away team score has hawthorn as the home team?,SELECT Away team score FROM table WHERE Home team = hawthorn
What is the make of the vehicle for driver Hisashi Wada?,SELECT Make FROM table WHERE Drivers = hisashi wada
In what rounds was the featured team of Avanzza Rosso?,SELECT Rounds FROM table WHERE Team = avanzza rosso
In what rounds was the featured driver Tomonobu Fujii with a Tyre of Y?,SELECT Rounds FROM table WHERE Tyre = y AND Drivers = tomonobu fujii
Who is the driver with a tyre of k for Avanzza Rosso?,SELECT Drivers FROM table WHERE Tyre = k AND Team = avanzza rosso
What is the tyre for Yoshihisa Namekata?,SELECT Tyre FROM table WHERE Drivers = yoshihisa namekata
"If the pick is under 28 and the position is k, what's the highest Overall pick?",SELECT MAX Overall FROM table WHERE Position = k AND Pick < 28
"During round 8 when the Position being picked was rb, what was the highest overall pick?",SELECT MAX Overall FROM table WHERE Position = rb AND Round = 8
Which county had a Bush number of votes of 566?,SELECT County FROM table WHERE Bush# = 566
who is the opponent when the year is after 1996 and the outcome is winner?,SELECT Opponent FROM table WHERE Year > 1996 AND Outcome = winner
what is the surface when the championship is rome and the opponent is sergi bruguera?,SELECT Surface FROM table WHERE Championship = rome AND Opponent = sergi bruguera
what is the score when the surface is hard and outcome is runner-up?,SELECT Score FROM table WHERE Surface = hard AND Outcome = runner-up
What was the number of the game played on February 24?,SELECT SUM Game FROM table WHERE Date = february 24
"Where was the game played when the opponent was Oklahoma City, and what was the attendance?",SELECT Location Attendance FROM table WHERE Team = oklahoma city
What was the record when they played game 58?,SELECT Record FROM table WHERE Game = 58
"What is Score In The Final, when Date is ""22 October 1990""?",SELECT Score in the final FROM table WHERE Date = 22 october 1990
"What is Outcome, when Surface is ""Carpet (I)"", and when Date is ""15 November 1993""?",SELECT Outcome FROM table WHERE Surface = carpet (i) AND Date = 15 november 1993
"What is Tournament, when Opponent In The Final is ""Andre Agassi""?",SELECT Tournament FROM table WHERE Opponent in the final = andre agassi
"What is Score In The Final, when Date is ""30 August 1993""?",SELECT Score in the final FROM table WHERE Date = 30 august 1993
"What is Date, when Outcome is ""Winner"", and when Surface is ""Grass""?",SELECT Date FROM table WHERE Outcome = winner AND Surface = grass
"What is Opponent In The Final, when Outcome is ""Winner"", when Surface is ""Carpet (I)"", and when Tournament is ""Lyon, France""?","SELECT Opponent in the final FROM table WHERE Outcome = winner AND Surface = carpet (i) AND Tournament = lyon, france"
"What are the total goals against the winner with less than 5 wins, and less than 5 plays?",SELECT COUNT Goals Against FROM table WHERE Wins < 5 AND Played < 5
What is the average losses for 22 goals?,SELECT AVG Losses FROM table WHERE Goals For > 22
"What is the total wins with less than 2 ties, 18 goals, and less than 2 losses?",SELECT SUM Wins FROM table WHERE Ties < 2 AND Goals Against = 18 AND Losses < 2
"What is the Overall Record when the Last 10 Meetings is ou, 7-3, and Norman is ou, 18-3?","SELECT Overall Record FROM table WHERE Last 10 Meetings = ou, 7-3 AND at Norman = ou, 18-3"
"What is Oklahoma vs. when Current Streak is l 1, and Neutral Site is osu, 7-6?","SELECT Oklahoma vs. FROM table WHERE Current Streak = l 1 AND at Neutral Site = osu, 7-6"
"What is the Overall Record when Since Beginning of Big 12 is ou, 27-3?","SELECT Overall Record FROM table WHERE Since Beginning of Big 12 = ou, 27-3"
"What is the Last 10 Meetings when Norman is ou, 18-6?","SELECT Last 10 Meetings FROM table WHERE at Norman = ou, 18-6"
