question,sql
Which Venue has a Result of 2–0?,SELECT Venue FROM table WHERE Result = 2–0
What is the Score of 2007 afc asian cup qualification with a Result of 8–0?,SELECT Score FROM table WHERE Competition = 2007 afc asian cup qualification AND Result = 8–0
Which Competition has a Result of 3–1?,SELECT Competition FROM table WHERE Result = 3–1
"What was the Indians' record during the game that had 31,467 in attendance?","SELECT Record FROM table WHERE Attendance = 31,467"
what year is 4:00 long,SELECT COUNT Year FROM table WHERE Length = 4:00
What round on average was a defensive tackle selected?,SELECT AVG Round FROM table WHERE Position = defensive tackle
"11th of 26, and a 17th larger than 16 has what highest 30th?",SELECT MAX 30th FROM table WHERE 11th = 26 AND 17th > 16
"What is the lowest total for the silver less than 1, and a rank more than 5, more than 1 bronze?",SELECT MIN Total FROM table WHERE Silver < 1 AND Rank > 5 AND Bronze > 1
"Who ha the gold and 1 bronze, and more than 0 silver?",SELECT Gold FROM table WHERE Bronze = 1 AND Silver > 0
"Who has a total of the Bronze less than 4, gold more than 0, and no silver?",SELECT SUM Bronze FROM table WHERE Total < 4 AND Gold > 0 AND Silver = 0
"What's the Points average with a Lost of 21, and Position of 22?",SELECT AVG Points FROM table WHERE Lost = 21 AND Position = 22
What's the total Lost that has a Played that's larger than 42?,SELECT SUM Lost FROM table WHERE Played > 42
what's the relative value that contains a jyutping of daam3?,SELECT Relative value FROM table WHERE Jyutping = daam3
What metric value has a jyutping of lei4?,SELECT Metric value FROM table WHERE Jyutping = lei4
what's the imperial that contains a jyutping of cin4?,SELECT Imperial value FROM table WHERE Jyutping = cin4
What was the location that led to a record of 9-0-0?,SELECT Location FROM table WHERE Record = 9-0-0
"What was the record after the bout against Nikki Eplion, which resulted in a win in round 3?","SELECT Record FROM table WHERE Result = win AND Rd, Time = 3 AND Opponent = nikki eplion"
What is the lowest number of bronze medals with less than 2 silver medals and more than 1 medal in total for Uzbekistan?,SELECT MIN Bronze FROM table WHERE Silver < 2 AND Total > 1 AND Nation = uzbekistan
"What is the highest round with a pick# of 11, a position of offensive tackle, and overall less than 414?",SELECT MAX Round FROM table WHERE Pick # = 11 AND Overall < 414 AND Position = offensive tackle
"What is the highest round with a pick# of 9, overll less than 468, and position of defensive back?",SELECT MAX Round FROM table WHERE Pick # = 9 AND Position = defensive back AND Overall < 468
What is the highest round with a guard position and an overall greater than 71?,SELECT MAX Round FROM table WHERE Position = guard AND Overall > 71
Who has an overall greater than 414 with a pick# bigger than 9?,SELECT Name FROM table WHERE Overall > 414 AND Pick # > 9
What is the Gaelic name for an area less than 127 in Kintyre?,SELECT Gaelic Name FROM table WHERE Area ( ha ) < 127 AND Location = kintyre
What was the score on 7 february 2008?,SELECT Score FROM table WHERE Date = 7 february 2008
What was the outcome on 13 may 2007?,SELECT Outcome FROM table WHERE Date = 13 may 2007
What was the score on 3 may 2009?,SELECT Score FROM table WHERE Date = 3 may 2009
"Name the score for venue of jalan besar, singapore","SELECT Score FROM table WHERE Venue = jalan besar, singapore"
Name the score for 2 june 2008,SELECT Score FROM table WHERE Date = 2 june 2008
Which Opponent has a Game of 63?,SELECT Opponent FROM table WHERE Game = 63
which Record has a Score of 1–4?,SELECT Record FROM table WHERE Score = 1–4
"Which Record has a Points smaller than 62 and a February larger than 16, and a Score of 8–7?",SELECT Record FROM table WHERE Points < 62 AND February > 16 AND Score = 8–7
What is the total number of Issues has a End month of oct-80?,SELECT COUNT Number of issues FROM table WHERE End month = oct-80
What is the Spine that has fantastic stories science fiction & fantasy with and end month in aug-72?,SELECT Spine FROM table WHERE Indicia = fantastic AND Cover = fantastic stories science fiction & fantasy AND End month = aug-72
Which Indicia has anEnd month in feb-75?,SELECT Indicia FROM table WHERE End month = feb-75
Which HAAT has a Channels TV / RF of 31 (psip) 44 (uhf),SELECT HAAT FROM table WHERE Channels TV / RF = 31 (psip) 44 (uhf)
