question,sql
"What aggregate has a 0-0 1st leg, and is from Instituto?",SELECT Aggregate FROM table WHERE 1st Leg = 0-0 AND Home (2nd leg) = instituto
What is the home of aggregate's 3-4?,SELECT Home (2nd leg) FROM table WHERE Aggregate = 3-4
What round did the fight against Sofia Bagherdai go to?,SELECT Round FROM table WHERE Opponent = sofia bagherdai
What was the method of fight completion for the Mars: Attack 1 event?,SELECT Method FROM table WHERE Event = mars: attack 1
what had a score of 70-71-68-72=281?,SELECT Country FROM table WHERE Score = 70-71-68-72=281
what had a score like roberto devicenzo,SELECT Score FROM table WHERE Player = roberto devicenzo
What was the total number who attended during week 11?,SELECT COUNT Attendance FROM table WHERE Week = 11
What was the total number of weeks with a result of l 31-21?,SELECT COUNT Week FROM table WHERE Result = l 31-21
"What was the average week of a game attended by 12,985 with a result of W 38-14?","SELECT AVG Week FROM table WHERE Attendance > 12,985 AND Result = w 38-14"
Which 2003 has a 2012 of 1–4?,SELECT 2003 FROM table WHERE 2012 = 1–4
Which 2007 has a 2008 of 0 / 4?,SELECT 2007 FROM table WHERE 2008 = 0 / 4
"Which 2007 has a 2003 of 2r, and a 2004 of 1r?",SELECT 2007 FROM table WHERE 2003 = 2r AND 2004 = 1r
Which 2010 has a 2009 of 0 / 4?,SELECT 2010 FROM table WHERE 2009 = 0 / 4
"Which 2011 has a 1999 of A, and a 2004 of 2r, and a Career SR of 0 / 10?",SELECT 2011 FROM table WHERE 1999 = a AND 2004 = 2r AND Career SR = 0 / 10
Which 2005 has a 1999 of 0–0?,SELECT 2005 FROM table WHERE 1999 = 0–0
what is the date of week 7,SELECT Date FROM table WHERE Week = 7
Who was the visitor in the game that led to a 39-20-6 record?,SELECT Visitor FROM table WHERE Record = 39-20-6
What was the date of the game that led to a 48-21-6 record?,SELECT Date FROM table WHERE Record = 48-21-6
Name the average attendance from june 11,SELECT AVG Attendance FROM table WHERE Date = june 11
What is south africa's margin of victory?,SELECT Margin of victory FROM table WHERE Country = south africa
"Which Score has a Year larger than 1980, and a Margin of victory of 2 strokes, and a Country of united states, and a Player of jim furyk?",SELECT Score FROM table WHERE Year > 1980 AND Margin of victory = 2 strokes AND Country = united states AND Player = jim furyk
"Which average Winner's share ($) has a Score of 281 (−7), and a Player of hale irwin, and a Year smaller than 1983?",SELECT AVG Winner's share ( $ ) FROM table WHERE Score = 281 (−7) AND Player = hale irwin AND Year < 1983
What was the highest season with Barwa International Campos Team as champion?,SELECT MAX Season FROM table WHERE Team Champion = barwa international campos team
Who was third in Barwa International Campos Team?,SELECT Third FROM table WHERE Team Champion = barwa international campos team
What year was the Beaudesert suburb club founded,SELECT Founded FROM table WHERE Suburb = beaudesert
What year did the Nerang Suburb get founded?,SELECT COUNT Founded FROM table WHERE Suburb = nerang
Who was the opponent when the Phillies played on April 28?,SELECT Opponent FROM table WHERE Date = april 28
What is the run rate for rank 4?,SELECT MAX Run Rate FROM table WHERE Rank = 4
Chinese title of 反正 卓文萱 had what released?,SELECT Released FROM table WHERE Chinese title = 反正 卓文萱
