question,sql
WHat year was north college hill high school founded?,SELECT MAX Founded FROM table WHERE School = North College Hill High School
Who was the incumbent when ran william b. oliver (d) unopposed?,SELECT Incumbent FROM table WHERE Candidates = William B. Oliver (D) Unopposed
Which party was the incumbent from when the cadidates were henry e. barbour (r) 52.1% henry hawson (d) 47.9%?  Answer: Democratic,SELECT COUNT Party FROM table WHERE Candidates = Henry E. Barbour (R) 52.1% Henry Hawson (D) 47.9%
Which district was the race between john i. nolan (r) 87% thomas f. feeley (s) 13%?,SELECT District FROM table WHERE Candidates = John I. Nolan (R) 87% Thomas F. Feeley (S) 13%
What was the net seat gain in the race john a. elston (r) 88.4% luella twining (s) 11.6%?,SELECT Result FROM table WHERE Candidates = John A. Elston (R) 88.4% Luella Twining (S) 11.6%
Which District was the incumbent Julius Kahn from?  Answer:  California 4th district,SELECT COUNT District FROM table WHERE Incumbent = Julius Kahn
What was the result of the election when Clarence F. Lea was the incumbent?,SELECT Result FROM table WHERE Incumbent = Clarence F. Lea
Which team played in game 20?,SELECT Team FROM table WHERE Game = 20
what's the height (ft) with name being leadenhall building,SELECT Height (ft) FROM table WHERE Name = Leadenhall Building
what's the height (ft) with name being 52-54 lime street,SELECT Height (ft) FROM table WHERE Name = 52-54 Lime Street
 how many city with name being providence tower,SELECT COUNT City FROM table WHERE Name = Providence Tower
What station has the call number K213cl,SELECT Format FROM table WHERE Call sign = K213CL
What market is Wessington Springs in,SELECT Target city/ market FROM table WHERE City of license = Wessington Springs
What station owns Moody Bible Institute,SELECT Format FROM table WHERE Owner = Moody Bible Institute
 how many date with score being w 113–87,SELECT COUNT Date FROM table WHERE Score = W 113–87
what's the game with record being 29–3,SELECT Game FROM table WHERE Record = 29–3
who is the the high rebounds with high assbeingts being scottie pippen (9),SELECT High rebounds FROM table WHERE High assists = Scottie Pippen (9)
who is the the high points with score being w 117–93,SELECT High points FROM table WHERE Score = W 117–93
what's the record with date being january 13,SELECT Record FROM table WHERE Date = January 13
what are all the record where date is january 21,SELECT Record FROM table WHERE Date = January 21
