question,sql
Who won the mens singles when lau sui fei won the womens singles?,SELECT Mens Singles FROM table WHERE Womens Singles = Lau Sui Fei
Who won the mens doubles when wang hao won the mens singles?,SELECT Mens Doubles FROM table WHERE Mens Singles = Wang Hao
Who won in the men singles group in the year when Yoshie Takada won in the women singles?,SELECT Mens Singles FROM table WHERE Womens Singles = Yoshie Takada
When and where did Chen Qi win in men singles?,SELECT Year Location FROM table WHERE Mens Singles = Chen Qi
Who is listed under mens singles when womens has wang nan zhang yining?,SELECT Mens Singles FROM table WHERE Womens Doubles = Wang Nan Zhang Yining
How many womens singles entries are there when womens doubles is li xiaodan wen jia?,SELECT COUNT Womens Singles FROM table WHERE Womens Doubles = Li Xiaodan Wen Jia
Who is listed under womens singles when year location is 1998 doha?,SELECT Womens Singles FROM table WHERE Year Location = 1998 Doha
Who is listed under mens singles when the year location is 2009 doha?,SELECT Mens Singles FROM table WHERE Year Location = 2009 Doha
How many  year locations are there for the womens doubles in jing junhong li jiawei?,SELECT COUNT Year Location FROM table WHERE Womens Doubles = Jing Junhong Li Jiawei
How many players are there for mens singles when chen qi ma lin played mens doubles?,SELECT COUNT Mens Singles FROM table WHERE Mens Doubles = Chen Qi Ma Lin
Who played mens doubles for the 1999 kobe tour?,SELECT Mens Doubles FROM table WHERE Year Location = 1999 Kobe
Where was the tour when  jing junhong li jiawei played womens doubles?,SELECT Year Location FROM table WHERE Womens Doubles = Jing Junhong Li Jiawei
How many years did lin gaoyuan wu jiaji play  mens doubles?,SELECT COUNT Year Location FROM table WHERE Mens Doubles = Lin Gaoyuan Wu Jiaji
How many people are shown for mens doubles when guo yue played womens singles?,SELECT COUNT Mens Doubles FROM table WHERE Womens Singles = Guo Yue
Who won the Womens Singles in the year the Jean-Michel Saive won the Mens Singles?,SELECT Womens Singles FROM table WHERE Mens Singles = Jean-Michel Saive
In what year and location did Liu Guozheng win the Mens Singles?,SELECT Year Location FROM table WHERE Mens Singles = Liu Guozheng
In what year and location did Wang Liqin win the Mens Singles?,SELECT Year Location FROM table WHERE Mens Singles = Wang Liqin
Who won the mens doubles at the 2006 guangzhou event?,SELECT Mens Doubles FROM table WHERE Year Location = 2006 Guangzhou
How many times was the womens doubles in china?,SELECT COUNT Mens Singles FROM table WHERE Womens Doubles = China
How many times did  li ju win the womens singles and wang liqin win the mens singles?,SELECT COUNT Womens Doubles FROM table WHERE Womens Singles = Li Ju AND Mens Singles = Wang Liqin
Name the mens singles for lee eun-sil moon hyun-jung,SELECT Mens Singles FROM table WHERE Womens Doubles = Lee Eun-Sil Moon Hyun-Jung
Name the number of womens doubles for 2011 rio de janeiro,SELECT COUNT Womens Doubles FROM table WHERE Year Location = 2011 Rio de Janeiro
Name the year location for  haruna fukuoka,SELECT Year Location FROM table WHERE Womens Singles = Haruna Fukuoka
Name the mens doubles for dimitrij ovtcharov,SELECT Mens Doubles FROM table WHERE Mens Singles = Dimitrij Ovtcharov
Name the number of womens singles for 1999 rio de janeiro,SELECT COUNT Womens Singles FROM table WHERE Year Location = 1999 Rio de Janeiro
Name the womens doubles for werner schlager,SELECT Womens Doubles FROM table WHERE Mens Singles = Werner Schlager
Who was the womens double winner when the womens singles winner was Ding Ning?,SELECT Womens Doubles FROM table WHERE Womens Singles = Ding Ning
Who wrote episode number 19 in the series?,SELECT Written by FROM table WHERE No. in series = 19
How many marks are there when tackles are 3?,SELECT Marks FROM table WHERE Tackles = 3
What was the goal accuracy % when the total disposals are 481?,SELECT Goal Accuracy % FROM table WHERE Total Disposals = 481
"Who directed ""it's a wonderful lie""?","SELECT Directed by FROM table WHERE Title = ""It's a Wonderful Lie"""
What date did the episode with a production code of 60072 originally air?,SELECT Original air date FROM table WHERE Production code = 60072
"How many different people directed the episode titled ""Fail Fish""?","SELECT COUNT Directed by FROM table WHERE Title = ""Fail Fish"""
"How many millions of people in the US watched the episode titled ""Peopleing""?","SELECT U.S. viewers (millions) FROM table WHERE Title = ""Peopleing"""
"How many different pairs of people did the story and storyboard of the episode titled ""Milo's big idea""?","SELECT COUNT Story & Storyboards by FROM table WHERE Title = ""Milo's Big Idea"""
"Who directed the episode titled ""Baldwin the Super FIsh""?","SELECT Directed by FROM table WHERE Title = ""Baldwin the Super Fish"""
What's the title of the episode with series number 36?,SELECT Title FROM table WHERE No. in series = 36
when was the next coach appointed after niger tornadoes fired their coach?,SELECT Date of appointment FROM table WHERE Manner of departure = fired AND Team = Niger Tornadoes
how many managers left sunshine stars?,SELECT COUNT Outgoing manager FROM table WHERE Team = Sunshine Stars
how many new managers replaced  manager(s) who resigned? ,SELECT COUNT Incoming manager FROM table WHERE Manner of departure = Resigned
how many times did tunde abdulrahman leave the team?,SELECT COUNT Date of vacancy FROM table WHERE Outgoing manager = Tunde Abdulrahman
How many platforms have celsius calibur as mystic arte?,SELECT COUNT Platform FROM table WHERE Mystic Arte = Celsius Calibur
Which character is yumi kakazu the character voice?,SELECT Character FROM table WHERE Character Voice = Yumi Kakazu
How many mystic arte have hisui (jadeite) hearts 1 as the character?,SELECT COUNT Mystic Arte FROM table WHERE Character = Hisui (Jadeite) Hearts 1
How many platforms have nanaly fletch as the character?,SELECT COUNT Platform FROM table WHERE Character = Nanaly Fletch
What is the status of the character keel (keele) zeibel?,SELECT Status FROM table WHERE Character = Keel (Keele) Zeibel
Which character is mio yasuda the character voice?,SELECT Character FROM table WHERE Character Voice = Mio Yasuda
What sesaon(s) did they have 254 goals against?,SELECT Season FROM table WHERE Goals against = 254
What is the largest number of points in a season?,SELECT MAX Points FROM table
"What is the phonology used in the example streht > ""straight""?","SELECT Early Middle English FROM table WHERE Example = streht > ""straight"""
"What is the Anglian phonology used in the example dæg > ""day""; grǣg > ""gray""?","SELECT Late Old English (Anglian) FROM table WHERE Example = dæg > ""day""; grǣg > ""gray"""
"What is the modern English phonology used in the example weg > ""way""; regn > ""rain""?","SELECT Modern English FROM table WHERE Example = weg > ""way""; regn > ""rain"""
"What is the Early Modern English phonology used in the example bōg > ""bough""; plōg > plōh > ""plough""?","SELECT Early Modern English FROM table WHERE Example = bōg > ""bough""; plōg > plōh > ""plough"""
"What is the Late Middle English equivalent of the Anglian æg, ǣg?","SELECT Late Middle English FROM table WHERE Late Old English (Anglian) = æg, ǣg"
What is the example of the Early Modern English ( [x] → /f/) /ɔf/?,SELECT Example FROM table WHERE Early Modern English = ( [x] → /f/) /ɔf/
List the numer of miles for 2010.,SELECT Miles (km) FROM table WHERE Year = 2010
On what day did tommy ellis drive?,SELECT Date FROM table WHERE Driver = Tommy Ellis
