question,sql
What is the average rating for a Flyde that has a Burnley less than 0?,SELECT AVG Fylde FROM table WHERE Burnley < 0
What is the highest rated West Lancashire with a Pendle greater than 1 and a Rossendale more than 2?,SELECT MAX West Lancashire FROM table WHERE Pendle > 1 AND Rossendale > 2
What was the average Chorley for the Labour party that had a Rossendale greater than 0 and a Pendle less than 1?,SELECT AVG Chorley FROM table WHERE Rossendale > 0 AND Party = labour AND Pendle < 1
In what season was Schädlich the top goalscorer?,SELECT Season FROM table WHERE Top Goalscorer = schädlich
What is the average attendance when the rank is 5?,SELECT Avg.Att. FROM table WHERE Rank = 5
What is the Speed for Chris Swallow?,SELECT Speed FROM table WHERE Rider = chris swallow
"What is the speed when the rank is larger than 2, and team is 500cc norton manx?",SELECT Speed FROM table WHERE Rank > 2 AND Team = 500cc norton manx
What is the time for Alan Oversby?,SELECT Time FROM table WHERE Rider = alan oversby
"What is the Speed when the rank is smaller than 3, and time is 1:06.19.90?",SELECT Speed FROM table WHERE Rank < 3 AND Time = 1:06.19.90
What is the team when the time is 1:11.19.89?,SELECT Team FROM table WHERE Time = 1:11.19.89
Which actor plays the character Helga Beimer?,SELECT Actor FROM table WHERE Character = helga beimer
How long did the soap opera run in which Nadine Spruß acted in?,SELECT Character FROM table WHERE Actor = nadine spruß
How many years did the soap opera run in which the character Clemens Richter was included?,SELECT Duration FROM table WHERE Character = clemens richter
"What years did Marienhof run, which featured Leonore Capell and lasted 10 years?",SELECT Years FROM table WHERE Soap Opera = marienhof AND Duration = 10 years AND Actor = leonore capell
Who was the opponent in week 6?,SELECT Opponent FROM table WHERE Week = 6
What's the result when the Carolina Panthers were the opponent?,SELECT Result FROM table WHERE Opponent = carolina panthers
What date had a result of W 41-0?,SELECT Date FROM table WHERE Result = w 41-0
What's the attendance when the week was more than 16?,SELECT Attendance FROM table WHERE Week > 16
What was the year of the World Half Marathon Championships with a result of 3rd?,SELECT Year FROM table WHERE Tournament = world half marathon championships AND Result = 3rd
What was the result of the tournament in 2001?,SELECT Result FROM table WHERE Year = 2001
What is the average capacity for the vehicle having a navigator of Macneall?,SELECT AVG Capacity FROM table WHERE Navigator = macneall
Which vehicle had a class of CM14?,SELECT Vehicle FROM table WHERE Class = cm14
Who was the driver of the vehicle having class of CM22 and navigator of Macneall?,SELECT Driver FROM table WHERE Class = cm22 AND Navigator = macneall
What is the total time of the vehicle having a navigator of Vandenberg?,SELECT Total Time FROM table WHERE Navigator = vandenberg
What is the bronze with more than 2 gold and less than 14 total and 4 silver?,SELECT AVG Bronze FROM table WHERE Gold > 2 AND Total < 14 AND Silver = 4
How many silvers are there with a total of 11?,SELECT SUM Silver FROM table WHERE Total = 11
How many silvers are there with more than 2 golds in Germany?,SELECT COUNT Silver FROM table WHERE Gold > 2 AND Nation = germany
What is the average reaction for brigitte foster-hylton after heat 1?,SELECT AVG Reaction FROM table WHERE Heat > 1 AND Name = brigitte foster-hylton
What round did the home team Pohang Steelers play?,SELECT Round FROM table WHERE Home Team = pohang steelers
What is the latest round for Pohang Steelers as the away team?,SELECT MAX Round FROM table WHERE Away Team = pohang steelers
what is the album when the remix is dead guys remix and the year is after 2003?,SELECT Album FROM table WHERE Remix = dead guys remix AND Year > 2003
"what is the album with the song ""party like ur 18"" feat. sway?","SELECT Album FROM table WHERE Song = ""party like ur 18"" feat. sway"
What is Joselito Escobar's Pick number?,SELECT SUM Pick FROM table WHERE Player = joselito escobar
What is the Pick 3 Player from East College?,SELECT Player FROM table WHERE College = east AND Pick = 3
What is Ateneo de Manila's PBA Team?,SELECT PBA team FROM table WHERE College = ateneo de manila
What is the College of the Player from PBA Team Alaska Milkmen with a Pick number of 3 or less?,SELECT College FROM table WHERE Pick < 3 AND PBA team = alaska milkmen
What is the College of the Player from San Miguel Beermen PBA Team?,SELECT College FROM table WHERE PBA team = san miguel beermen
who is the web client when the client is x and the project is goto servers vnc java server (gsvncj)?,SELECT Web Client FROM table WHERE Client = x AND Project = goto servers vnc java server (gsvncj)
"what is the color quality when the proxy is x, the encryption is x, the webclient is x and authentication is  ✓?",SELECT Color Quality FROM table WHERE Proxy = x AND Encryption = x AND Web Client = x AND Authentication = ✓
what is the color quality when the relay is ✓?,SELECT Color Quality FROM table WHERE Relay = ✓
"what is the proxy when the image quality is ✓, the encryption is ssl and the license is proprietary?",SELECT Proxy FROM table WHERE Image Quality = ✓ AND Encryption = ssl AND License = proprietary
"what is the image quality when the multiple sessions is x, the authentication is ✓ and the date is may 15, 2007?","SELECT Image Quality FROM table WHERE Multiple Sessions = x AND Authentication = ✓ AND Date = may 15, 2007"
What is listed for the Cores that has the L3 cache of 8 MB and Model number of Core i7-860?,SELECT Cores FROM table WHERE L3 cache = 8 mb AND Model number = core i7-860
What Memory has a Turbo of 2/2/4/5 and the Release date of May 2010?,SELECT Memory FROM table WHERE Turbo = 2/2/4/5 AND Release date = may 2010
What Model number has the sSpec numebr of SLBJG(B1)?,SELECT Model number FROM table WHERE sSpec number = slbjg(b1)
What Turbo has the Release price (USD) of $583?,SELECT Turbo FROM table WHERE Release price ( USD ) = $583
"What is the lowest prominence for a peak with elevation of 3,615 meters?","SELECT MIN Prominence (m) FROM table WHERE Elevation (m) = 3,615"
"What is the Col entry for the peak with an elevation of 2,308 meters?","SELECT COUNT Col (m) FROM table WHERE Elevation (m) = 2,308"
who is the actor that played rachel mckenna?,SELECT Actor FROM table WHERE Character = rachel mckenna
"who is the actor for shortland street for the years 1993–1999, 2001–2003, 2007, 2009—?","SELECT Actor FROM table WHERE Soap Opera = shortland street AND Years = 1993–1999, 2001–2003, 2007, 2009—"
"what is the soap opera when the years are 2000–2004, 2005—?","SELECT Soap Opera FROM table WHERE Years = 2000–2004, 2005—"
what is the character with the duration of 11 years?,SELECT Character FROM table WHERE Duration = 11 years
what is the soap opera for elin sogn?,SELECT Soap Opera FROM table WHERE Actor = elin sogn
"What station was owned since 2011, and a channel (tv/rf) of 27?",SELECT Station FROM table WHERE Owned Since = 2011 AND Channel ( TV / RF ) = 27
