question,sql
"What is Event, when Round is ""10""?",SELECT Event FROM table WHERE Round = 10
"What is Date, when Round is less than 10, and when Circuit is ""Norisring""?",SELECT Date FROM table WHERE Round < 10 AND Circuit = norisring
What is the highest goal difference of the club with more than 34 played?,SELECT MAX Goal Difference FROM table WHERE Played > 34
What is the total number of points of the club with a goal difference greater than 17 and more than 34 played?,SELECT COUNT Points FROM table WHERE Goal Difference > 17 AND Played > 34
"What is the lowest goal difference of club real betis, who has less than 18 wins?",SELECT MIN Goal Difference FROM table WHERE Club = real betis AND Wins < 18
What is the sum of the points of the club with more than 34 played?,SELECT SUM Points FROM table WHERE Played > 34
What is the lowest number played of the club with more than 15 wins and less than 42 goals against?,SELECT MIN Played FROM table WHERE Wins > 15 AND Goals against < 42
"What is the total number of wins of the club with a goal difference less than 21, 4 draws, and less than 21 losses?",SELECT COUNT Wins FROM table WHERE Goal Difference < 21 AND Draws = 4 AND Losses < 21
What is the round for the qualifying phase with a draw date on 16 July 2010?,SELECT Round FROM table WHERE Phase = qualifying AND Draw date = 16 july 2010
Jack Nicklaus finished in what place?,SELECT Finish FROM table WHERE Player = jack nicklaus
"What year (s) won was +2 the To par, and t22 the finish?",SELECT Year(s) won FROM table WHERE To par = +2 AND Finish = t22
Lee Trevino of the United States with a total greater than 294 had what To par?,SELECT To par FROM table WHERE Total > 294 AND Country = united states AND Player = lee trevino
The golfer from Spain with a total less than 294 won in what year (s)?,SELECT Year(s) won FROM table WHERE Total < 294 AND Country = spain
Which Nationality has a Pick # smaller than 130 and a Player of tyler bunz? Question 1,SELECT Nationality FROM table WHERE Pick # < 130 AND Player = tyler bunz
Which League from has a Player of louis domingue?,SELECT League from FROM table WHERE Player = louis domingue
Which League from has a NHL team of san jose sharks (from carolina) 3?,SELECT League from FROM table WHERE NHL team = san jose sharks (from carolina) 3
Name the Nationality of södertälje sk?,SELECT Nationality FROM table WHERE Team from = södertälje sk
Which Team has a Pick # of 148?,SELECT Team from FROM table WHERE Pick # = 148
"Which team has a League from of ontario hockey league, and a Player of tony dehart?",SELECT NHL team FROM table WHERE League from = ontario hockey league AND Player = tony dehart
What is T4 Place Player Nick Price's Money?,SELECT Money ( $ ) FROM table WHERE Place = t4 AND Player = nick price
What is the To par of the Place 1 Player?,SELECT To par FROM table WHERE Place = 1
What Player's Score is 69-68-66-70=273?,SELECT Player FROM table WHERE Score = 69-68-66-70=273
What Player's To par is −6?,SELECT Player FROM table WHERE To par = −6
What is the height of the the building ranked 13= with fewer than 28 floors?,SELECT Height ft ( m ) FROM table WHERE Rank = 13= AND Floors < 28
"Which Country has a To par larger than 3, and a Year(s) won of 1979? Question 1",SELECT Country FROM table WHERE To par > 3 AND Year(s) won = 1979
"Which To par has a Country of australia, and a Year(s) won of 1990?",SELECT MIN To par FROM table WHERE Country = australia AND Year(s) won = 1990
Which city is in Cantabria?,SELECT City FROM table WHERE Province = cantabria
What is the name of the city with the Socialist Party of the Extremadurian People?,SELECT City FROM table WHERE Name in English = socialist party of the extremadurian people
